  0.70669188	  0.97291828	  0.70700294	
  0.69125295	  0.79975616	  0.69431387	
  0.65481065	  0.63267834	  0.66052843	
  0.59847226	  0.47676141	  0.60667316	
  0.52394960	  0.33674281	  0.53438444	
  0.43350699	  0.21687696	  0.44585871	
  0.32989248	  0.12080589	  0.34378580	
  0.21625437	  0.05144870	  0.23126712	
  0.09604547	  0.01091276	  0.11172151	
 -0.02708172	  0.00042973	 -0.01121870	
 -0.14938605	  0.02031814	 -0.13381803	
 -0.26715135	  0.06997369	 -0.25235137	
 -0.37679940	  0.14788762	 -0.36321715	
 -0.47499859	  0.25169254	 -0.46304675	
 -0.55876519	  0.37823442	 -0.54880691	
 -0.62555398	  0.52366832	 -0.61789186	
 -0.67333564	  0.68357533	 -0.66820247	
 -0.70065834	  0.85309673	 -0.69821009	
 -0.70669188	  1.02708172	 -0.70700294	
 -0.69125295	  1.20024384	 -0.69431387	
 -0.65481065	  1.36732166	 -0.66052843	
 -0.59847226	  1.52323859	 -0.60667316	
 -0.52394960	  1.66325719	 -0.53438444	
 -0.43350699	  1.78312304	 -0.44585871	
 -0.32989248	  1.87919411	 -0.34378580	
 -0.21625437	  1.94855130	 -0.23126712	
 -0.09604547	  1.98908724	 -0.11172151	
  0.02708172	  1.99957027	  0.01121870	
  0.14938605	  1.97968186	  0.13381803	
  0.26715135	  1.93002631	  0.25235137	
  0.37679940	  1.85211238	  0.36321715	
  0.47499859	  1.74830746	  0.46304675	
  0.55876519	  1.62176558	  0.54880691	
  0.62555398	  1.47633168	  0.61789186	
  0.67333564	  1.31642467	  0.66820247	
  0.70065834	  1.14690327	  0.69821009	
  0.70669188	  0.97291828	  0.70700294	
  0.73717551	  0.94535896	  0.67495821	
  0.71705729	  0.77283167	  0.66032650	
  0.67611567	  0.60719149	  0.62466691	
  0.61559467	  0.45347129	  0.56906293	
  0.53733316	  0.31634179	  0.49520406	
  0.44370910	  0.19996961	  0.40533447	
  0.33756720	  0.10789065	  0.30218479	
  0.22213253	  0.04290268	  0.18888919	
  0.10091251	  0.00698033	  0.06889008	
 -0.02240965	  0.00121508	 -0.05416641	
 -0.14408687	  0.02578211	 -0.17654129	
 -0.26042204	  0.07993496	 -0.29451625	
 -0.36788038	  0.16202823	 -0.40450668	
 -0.46319683	  0.26956754	 -0.50317057	
 -0.54347523	  0.39928538	 -0.58751009	
 -0.60627638	  0.54724033	 -0.65496260	
 -0.64969210	  0.70893686	 -0.70347861	
 -0.67240321	  0.87946190	 -0.73158397	
 -0.67371965	  1.05363413	 -0.73842473	
 -0.65360142	  1.22616141	 -0.72379302	
 -0.61265981	  1.39180160	 -0.68813343	
 -0.55213880	  1.54552180	 -0.63252945	
 -0.47387730	  1.68265129	 -0.55867058	
 -0.38025324	  1.79902348	 -0.46880099	
 -0.27411133	  1.89110244	 -0.36565131	
 -0.15867666	  1.95609041	 -0.25235571	
 -0.03745664	  1.99201276	 -0.13235660	
  0.08586552	  1.99777800	 -0.00930011	
  0.20754273	  1.97321097	  0.11307477	
  0.32387790	  1.91905812	  0.23104973	
  0.43133625	  1.83696486	  0.34104016	
  0.52665269	  1.72942554	  0.43970405	
  0.60693110	  1.59970770	  0.52404357	
  0.66973225	  1.45175275	  0.59149608	
  0.71314796	  1.29005622	  0.64001209	
  0.73585907	  1.11953119	  0.66811746	
  0.73717551	  0.94535896	  0.67495821	
  0.76372280	  0.88992950	  0.64215741	
  0.73431976	  0.71911544	  0.62365036	
  0.68453188	  0.55677474	  0.58426562	
  0.61587196	  0.40784004	  0.52519986	
  0.53042618	  0.27683664	  0.44824778	
  0.43079077	  0.16774503	  0.35574751	
  0.31999310	  0.08387989	  0.25050964	
  0.20139972	  0.02778942	  0.13573176	
  0.07861400	  0.00117790	  0.01490135	
 -0.04463325	  0.00485391	 -0.10831024	
 -0.16459725	  0.03870576	 -0.23015927	
 -0.27763293	  0.10170488	 -0.34694343	
 -0.38030578	  0.19193706	 -0.45511428	
 -0.46949612	  0.30666065	 -0.55138512	
 -0.54249396	  0.44238984	 -0.63283079	
 -0.59708129	  0.59500055	 -0.69697662	
 -0.63159950	  0.75985579	 -0.74187357	
 -0.64499978	  0.93194652	 -0.76615746	
 -0.63687496	  1.10604385	 -0.76909044	
 -0.60747192	  1.27685791	 -0.75058340	
 -0.55768404	  1.43919862	 -0.71119866	
 -0.48902412	  1.58813332	 -0.65213290	
 -0.40357834	  1.71913671	 -0.57518082	
 -0.30394293	  1.82822832	 -0.48268055	
 -0.19314526	  1.91209347	 -0.37744268	
 -0.07455188	  1.96818394	 -0.26266480	
  0.04823384	  1.99479545	 -0.14183438	
  0.17148109	  1.99111944	 -0.01862280	
  0.29144509	  1.95726759	  0.10322623	
  0.40448077	  1.89426848	  0.22001039	
  0.50715362	  1.80403629	  0.32818124	
  0.59634396	  1.68931270	  0.42445208	
  0.66934180	  1.55358351	  0.50589775	
  0.72392913	  1.40097280	  0.57004358	
  0.75844734	  1.23611756	  0.61494053	
  0.77184762	  1.06402683	  0.63922442	
  0.76372280	  0.88992950	  0.64215741	
  0.78679680	  0.83393027	  0.60864610	
  0.74823629	  0.66541485	  0.58628235	
  0.68982923	  0.50692806	  0.54321212	
  0.61335029	  0.36328542	  0.48074406	
  0.52112323	  0.23885145	  0.40077625	
  0.41595035	  0.13740701	  0.30573845	
  0.30102725	  0.06203444	  0.19851834	
  0.17984582	  0.01502390	  0.08237376	
  0.05608809	 -0.00219623	 -0.03916630	
 -0.06648561	  0.01089728	 -0.16240891	
 -0.18415095	  0.05390660	 -0.28360940	
 -0.29333273	  0.12552490	 -0.39908517	
 -0.39071352	  0.22357610	 -0.50532753	
 -0.47333443	  0.34508096	 -0.59910837	
 -0.53868510	  0.48634763	 -0.67757819	
 -0.58477986	  0.64308378	 -0.73835275	
 -0.61021815	  0.81052706	 -0.77958543	
 -0.61422704	  0.98358981	 -0.80002339	
 -0.59668472	  1.15701358	 -0.79904565	
 -0.55812421	  1.32552899	 -0.77668191	
 -0.49971714	  1.48401579	 -0.73361167	
 -0.42323820	  1.62765842	 -0.67114362	
 -0.33101115	  1.75209239	 -0.59117580	
 -0.22583826	  1.85353683	 -0.49613800	
 -0.11091516	  1.92890940	 -0.38891790	
  0.01026627	  1.97591995	 -0.27277332	
  0.13402400	  1.99314008	 -0.15123326	
  0.25659770	  1.98004656	 -0.02799065	
  0.37426304	  1.93703725	  0.09320985	
  0.48344482	  1.86541895	  0.20868561	
  0.58082560	  1.76736775	  0.31492797	
  0.66344652	  1.64586288	  0.40870881	
  0.72879718	  1.50459622	  0.48717864	
  0.77489194	  1.34786007	  0.54795320	
  0.80033023	  1.18041678	  0.58918587	
  0.80433912	  1.00735404	  0.60962384	
  0.78679680	  0.83393027	  0.60864610	
  0.80640013	  0.77757915	  0.57442607	
  0.75884638	  0.61193856	  0.54822815	
  0.69208191	  0.45784458	  0.50151579	
